"","Comb","Mean","Lower","Upper","SB_Mean_Ratio","SB_SD_Ratio","SB_empirical_Lower_Ratio","SB_empirical_Upper_Ratio"
"1","AM1","1.583","0.851","2.324",0.359219384281788,0.0810053946844477,0.42298224852071,0.311597765363128
"2","AM2","0.083","0","0.242",0.0188346234335998,0.017930561508787,0,0.0324469273743017
"3","AM3","0.667","0.163","1.193",0.151357756990494,0.0630748331756608,0.0810177514792899,0.15995530726257
"4","AF1","0.426","0.303","0.549",0.0687399149185859,0.00801024515633991,0.0574301538461539,0.0708981132075472
"5","AF2","1.041","0.9","1.184",0.167977116033446,0.010670400920775,0.170584615384615,0.152902306079665
"6","AF3","0.538","0.422","0.652",0.0868123808126742,0.0026601557644351,0.0799852307692308,0.0841995807127882
"7","JX1","0.106","0.022","0.189",0.00790077815211234,0.00552283865934437,0.00199870214146658,0.0110158201498751
"8","JX2","0.77","0.615","0.927",0.0573924450672312,0.0012352021597208,0.0558728098637249,0.054029975020816
"9","JX3","1.097","0.904","1.286",0.0817656003100683,0.00428763649962356,0.0821284879948086,0.0749542048293089
